dataset,dataset_group,best_model_class,linear_best_ratio,nonlinear_best_ratio,nonlinear_to_linear_ratio,behavior
Milk_Urea_1224_KS,MILK,TabPFN,0.98437688718,0.94392367721,0.9589047543711753,nonlinear_mild
NP_spxyG,PHOSPHORUS,PLS,1.0,1.06719851091,1.06719851091,linear
N_wOutlier,COLZA,TabPFN,0.821218143771,0.641502125228,0.7811592207184422,nonlinear_strong
N_woOutlier,COLZA,TabPFN,0.864899534613,0.70997101033,0.820871074520438,nonlinear_strong
Pi_spxyG,PHOSPHORUS,Ridge,0.88896666749,0.902751048666,1.015506072027335,tie
Quartz_spxy70,QUARTZ,Ridge,0.984757829348,0.997867654665,1.0133127403776825,tie
Rd25_CBtestSite,DarkResp,AOM-Ridge,0.984875726011,0.990022061029,1.0052253648679554,tie
Rd25_GTtestSite,DarkResp,AOM-Ridge,0.930647643812,0.970003407797,1.0422885763980403,linear
Rd25_XSBNtestSite,DarkResp,AOM-PLS,0.788823036052,0.835709369401,1.0594383419425257,linear
Rd25_spxy70,DarkResp,TabPFN,0.959608176493,0.928662146319,0.9677513896483293,nonlinear_mild
Rice_Amylose_313_YbasedSplit,AMYLOSE,TabPFN,0.981707550253,0.688600491916,0.7014313903754106,nonlinear_strong
TIC_spxy70,IncombustibleMaterial,Ridge,0.89923219449,1.05820927235,1.1767920219428576,linear
V25_spxyG,PHOSPHORUS,AOM-PLS,0.829879975334,1.01816978095,1.2268879973157798,linear
WOOD_Density_402_Olale,WOOD_density,TabPFN,0.988513372086,0.952009935262,0.9630723894539038,nonlinear_mild
WOOD_N_402_Olale,WOOD_density,Multi-kernel ridge,0.940130423191,0.9326646572665,0.9920587976515433,tie
WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,GRAPEVINE_LeafTraits,AOM-PLS,0.899688727182,0.927888256437,1.0313436507572196,linear
brix_groupSampleID_stratDateVar_balRows,BERRY,TabPFN,0.948115118046,0.73971612303,0.7801965277745007,nonlinear_strong
grapevine_chloride_556_KS,GRAPEVINES,TabPFN,0.999154944921,0.80813847709,0.8088219762090022,nonlinear_strong
ph_groupSampleID_stratDateVar_balRows,BERRY,TabPFN,0.928983485922,0.684064233239,0.7363577971034416,nonlinear_strong
ta_groupSampleID_stratDateVar_balRows,BERRY,TabPFN,0.947110288145,0.80148789689,0.8462455818738761,nonlinear_strong
