Genotype;Rep_NIRS;ID;SLA;Split
MT;1;22_12_16_MT_1_8;45.6;Train
MT;2;22_12_16_MT_1_8;45.6;Train
MT;3;22_12_16_MT_1_8;45.6;Train
BE;1;22_12_16_BE_2_9;40.45;Train
BE;2;22_12_16_BE_2_9;40.45;Train
BE;3;22_12_16_BE_2_9;40.45;Train
ST;1;22_12_16_ST_1_2;38.78;Train
ST;2;22_12_16_ST_1_2;38.78;Train
ST;3;22_12_16_ST_1_2;38.78;Train
COL;1;22_12_16_COL_1_9;41.62;Train
COL;2;22_12_16_COL_1_9;41.62;Train
COL;3;22_12_16_COL_1_9;41.62;Train
MT;1;22_12_16_MT_1_9;42.28;Train
MT;2;22_12_16_MT_1_9;42.28;Train
MT;3;22_12_16_MT_1_9;42.28;Train
BE;1;22_12_16_BE_1_5;47.89;Train
BE;2;22_12_16_BE_1_5;47.89;Train
BE;3;22_12_16_BE_1_5;47.89;Train
ST;1;22_12_16_ST_2_10;37.92;Train
ST;2;22_12_16_ST_2_10;37.92;Train
ST;3;22_12_16_ST_2_10;37.92;Train
COL;1;22_12_16_COL_1_10;45.47;Train
COL;2;22_12_16_COL_1_10;45.47;Train
COL;3;22_12_16_COL_1_10;45.47;Train
ST;1;22_12_16_ST_1_3;40.16;Train
ST;2;22_12_16_ST_1_3;40.16;Train
ST;3;22_12_16_ST_1_3;40.16;Train
COL;1;22_12_16_COL_1_6;43.85;Train
COL;2;22_12_16_COL_1_6;43.85;Train
COL;3;22_12_16_COL_1_6;43.85;Train
BE;1;22_12_16_BE_1_2;43.56;Train
BE;2;22_12_16_BE_1_2;43.56;Train
BE;3;22_12_16_BE_1_2;43.56;Train
MT;1;22_12_16_MT_1_7;44.22;Train
MT;2;22_12_16_MT_1_7;44.22;Train
MT;3;22_12_16_MT_1_7;44.22;Train
ST;1;22_12_16_ST_1_6;39.42;Train
ST;2;22_12_16_ST_1_6;39.42;Train
ST;3;22_12_16_ST_1_6;39.42;Train
BE;1;22_12_16_BE_3_6;45.62;Train
BE;2;22_12_16_BE_3_6;45.62;Train
BE;3;22_12_16_BE_3_6;45.62;Train
BE;1;22_12_16_BE_3_4;43.08;Train
BE;2;22_12_16_BE_3_4;43.08;Train
BE;3;22_12_16_BE_3_4;43.08;Train
BE;1;22_12_16_BE_3_7;42.27;Train
BE;2;22_12_16_BE_3_7;42.27;Train
BE;3;22_12_16_BE_3_7;42.27;Train
COL;1;22_12_16_COL_1_4;44.31;Train
COL;2;22_12_16_COL_1_4;44.31;Train
COL;3;22_12_16_COL_1_4;44.31;Train
ST;1;22_12_16_ST_3_6;36.9;Train
ST;2;22_12_16_ST_3_6;36.9;Train
ST;3;22_12_16_ST_3_6;36.9;Train
ST;1;22_12_16_ST_3_3;51.27;Train
ST;2;22_12_16_ST_3_3;51.27;Train
ST;3;22_12_16_ST_3_3;51.27;Train
BE;1;22_12_16_BE_3_8;40.43;Train
BE;2;22_12_16_BE_3_8;40.43;Train
BE;3;22_12_16_BE_3_8;40.43;Train
BE;1;22_12_16_BE_3_3;45.29;Train
BE;2;22_12_16_BE_3_3;45.29;Train
BE;3;22_12_16_BE_3_3;45.29;Train
ST;1;22_12_16_ST_3_1;42.93;Train
ST;2;22_12_16_ST_3_1;42.93;Train
ST;3;22_12_16_ST_3_1;42.93;Train
ST;1;22_12_16_ST_3_4;34.24;Train
ST;2;22_12_16_ST_3_4;34.24;Train
ST;3;22_12_16_ST_3_4;34.24;Train
ST;1;22_12_16_ST_3_5;40.15;Train
ST;2;22_12_16_ST_3_5;40.15;Train
ST;3;22_12_16_ST_3_5;40.15;Train
BE;1;22_12_16_BE_3_2;46.92;Train
BE;2;22_12_16_BE_3_2;46.92;Train
BE;3;22_12_16_BE_3_2;46.92;Train
BE;1;22_12_16_BE_3_1;53.6;Train
BE;2;22_12_16_BE_3_1;53.6;Train
BE;3;22_12_16_BE_3_1;53.6;Train
ST;1;22_12_16_ST_3_7;40;Train
ST;2;22_12_16_ST_3_7;40;Train
ST;3;22_12_16_ST_3_7;40;Train
ST;1;22_12_16_ST_3_8;41.73;Train
ST;2;22_12_16_ST_3_8;41.73;Train
ST;3;22_12_16_ST_3_8;41.73;Train
ST;1;22_12_16_ST_3_10;36.86;Train
ST;2;22_12_16_ST_3_10;36.86;Train
ST;3;22_12_16_ST_3_10;36.86;Train
ST;1;22_12_16_ST_5_9;67.17;Train
ST;2;22_12_16_ST_5_9;67.17;Train
ST;3;22_12_16_ST_5_9;67.17;Train
ST;1;22_12_16_ST_5_6;58;Train
ST;2;22_12_16_ST_5_6;58;Train
ST;3;22_12_16_ST_5_6;58;Train
ST;1;22_12_16_ST_5_1;66.34;Train
ST;2;22_12_16_ST_5_1;66.34;Train
ST;3;22_12_16_ST_5_1;66.34;Train
ST;1;22_12_16_ST_5_5;64.54;Train
ST;2;22_12_16_ST_5_5;64.54;Train
ST;3;22_12_16_ST_5_5;64.54;Train
ST;1;22_12_16_ST_5_8;70.07;Train
ST;2;22_12_16_ST_5_8;70.07;Train
ST;3;22_12_16_ST_5_8;70.07;Train
ST;1;22_12_16_ST_5_7;72.46;Train
ST;2;22_12_16_ST_5_7;72.46;Train
ST;3;22_12_16_ST_5_7;72.46;Train
ST;1;22_12_16_ST_5_4;73;Train
ST;2;22_12_16_ST_5_4;73;Train
ST;3;22_12_16_ST_5_4;73;Train
BE;1;22_12_16_BE_5_7;66.95;Train
BE;2;22_12_16_BE_5_7;66.95;Train
BE;3;22_12_16_BE_5_7;66.95;Train
BE;1;22_12_16_BE_5_8;60.94;Train
BE;2;22_12_16_BE_5_8;60.94;Train
BE;3;22_12_16_BE_5_8;60.94;Train
BE;1;22_12_16_BE_5_6;62.56;Train
BE;2;22_12_16_BE_5_6;62.56;Train
BE;3;22_12_16_BE_5_6;62.56;Train
BE;1;22_12_16_BE_5_3;74.93;Train
BE;2;22_12_16_BE_5_3;74.93;Train
BE;3;22_12_16_BE_5_3;74.93;Train
BE;1;22_12_16_BE_5_2;64;Train
BE;2;22_12_16_BE_5_2;64;Train
BE;3;22_12_16_BE_5_2;64;Train
BE;1;22_12_16_BE_5_1;67.19;Train
BE;2;22_12_16_BE_5_1;67.19;Train
BE;3;22_12_16_BE_5_1;67.19;Train
ST;1;22_12_16_ST_4_5;48.79;Train
ST;2;22_12_16_ST_4_5;48.79;Train
ST;3;22_12_16_ST_4_5;48.79;Train
ST;1;22_12_16_ST_4_4;116;Train
ST;2;22_12_16_ST_4_4;116;Train
ST;3;22_12_16_ST_4_4;116;Train
ST;1;22_12_16_ST_4_2;56.75;Train
ST;2;22_12_16_ST_4_2;56.75;Train
ST;3;22_12_16_ST_4_2;56.75;Train
MT;1;22_12_16_MT_3_5;58.1;Train
MT;2;22_12_16_MT_3_5;58.1;Train
MT;3;22_12_16_MT_3_5;58.1;Train
MT;1;22_12_16_MT_3_6;106;Train
MT;2;22_12_16_MT_3_6;106;Train
MT;3;22_12_16_MT_3_6;106;Train
MT;1;22_12_16_MT_3_8;96.6;Train
MT;2;22_12_16_MT_3_8;96.6;Train
MT;3;22_12_16_MT_3_8;96.6;Train
MT;1;22_12_16_MT_3_1;58.63;Train
MT;2;22_12_16_MT_3_1;58.63;Train
MT;3;22_12_16_MT_3_1;58.63;Train
COL;1;22_12_16_COL_3_6;60.63;Train
COL;2;22_12_16_COL_3_6;60.63;Train
COL;3;22_12_16_COL_3_6;60.63;Train
COL;1;22_12_16_COL_3_3;80.2;Train
COL;2;22_12_16_COL_3_3;80.2;Train
COL;3;22_12_16_COL_3_3;80.2;Train
COL;1;22_12_16_COL_3_10;56.4;Train
COL;2;22_12_16_COL_3_10;56.4;Train
COL;3;22_12_16_COL_3_10;56.4;Train
COL;1;22_12_16_COL_3_8;52.89;Train
COL;2;22_12_16_COL_3_8;52.89;Train
COL;3;22_12_16_COL_3_8;52.89;Train
COL;1;22_12_16_COL_3_5;47.29;Train
COL;2;22_12_16_COL_3_5;47.29;Train
COL;3;22_12_16_COL_3_5;47.29;Train
COL;1;22_12_16_COL_3_2;78.5;Train
COL;2;22_12_16_COL_3_2;78.5;Train
COL;3;22_12_16_COL_3_2;78.5;Train
COL;1;22_12_16_COL_3_9;51.63;Train
COL;2;22_12_16_COL_3_9;51.63;Train
COL;3;22_12_16_COL_3_9;51.63;Train
COL;1;22_12_16_COL_3_7;60.58;Train
COL;2;22_12_16_COL_3_7;60.58;Train
COL;3;22_12_16_COL_3_7;60.58;Train
BE;1;22_12_16_BE_4_7;55.67;Train
BE;2;22_12_16_BE_4_7;55.67;Train
BE;3;22_12_16_BE_4_7;55.67;Train
BE;1;22_12_16_BE_4_10;57.59;Train
BE;2;22_12_16_BE_4_10;57.59;Train
BE;3;22_12_16_BE_4_10;57.59;Train
COL;1;22_12_16_COL_3_1;56.67;Train
COL;2;22_12_16_COL_3_1;56.67;Train
COL;3;22_12_16_COL_3_1;56.67;Train
BE;1;22_12_16_BE_4_6;50.96;Train
BE;2;22_12_16_BE_4_6;50.96;Train
BE;3;22_12_16_BE_4_6;50.96;Train
COL;1;22_12_16_COL_4_5;57.54;Train
COL;2;22_12_16_COL_4_5;57.54;Train
COL;3;22_12_16_COL_4_5;57.54;Train
COL;1;22_12_16_COL_5_3;68.79;Train
COL;2;22_12_16_COL_5_3;68.79;Train
COL;3;22_12_16_COL_5_3;68.79;Train
MT;1;22_12_16_MT_4_4;67.75;Train
MT;2;22_12_16_MT_4_4;67.75;Train
MT;3;22_12_16_MT_4_4;67.75;Train
COL;1;22_12_16_COL_5_6;76.15;Train
COL;2;22_12_16_COL_5_6;76.15;Train
COL;3;22_12_16_COL_5_6;76.15;Train
BE;1;22_12_16_BE_4_8;53.12;Train
BE;2;22_12_16_BE_4_8;53.12;Train
BE;3;22_12_16_BE_4_8;53.12;Train
MT;1;22_12_16_MT_4_1;71.45;Train
MT;2;22_12_16_MT_4_1;71.45;Train
MT;3;22_12_16_MT_4_1;71.45;Train
COL;1;22_12_16_COL_4_6;53.77;Train
COL;2;22_12_16_COL_4_6;53.77;Train
COL;3;22_12_16_COL_4_6;53.77;Train
ST;1;22_12_16_ST_4_6;50.08;Train
ST;2;22_12_16_ST_4_6;50.08;Train
ST;3;22_12_16_ST_4_6;50.08;Train
BE;1;22_12_16_BE_4_9;49.73;Train
BE;2;22_12_16_BE_4_9;49.73;Train
BE;3;22_12_16_BE_4_9;49.73;Train
COL;1;22_12_16_COL_4_2;72.45;Train
COL;2;22_12_16_COL_4_2;72.45;Train
COL;3;22_12_16_COL_4_2;72.45;Train
COL;1;22_12_16_COL_4_4;59.19;Train
COL;2;22_12_16_COL_4_4;59.19;Train
COL;3;22_12_16_COL_4_4;59.19;Train
COL;1;22_12_16_COL_4_3;64.87;Train
COL;2;22_12_16_COL_4_3;64.87;Train
COL;3;22_12_16_COL_4_3;64.87;Train
ST;1;22_12_15_ST_2_4;48;Train
ST;2;22_12_15_ST_2_4;48;Train
ST;3;22_12_15_ST_2_4;48;Train
MT;1;22_12_15_MT_5_5;73.73;Train
MT;2;22_12_15_MT_5_5;73.73;Train
MT;3;22_12_15_MT_5_5;73.73;Train
MT;1;22_12_15_MT_5_1;67.75;Train
MT;2;22_12_15_MT_5_1;67.75;Train
MT;3;22_12_15_MT_5_1;67.75;Train
MT;1;22_12_15_MT_4_3;70.73;Train
MT;2;22_12_15_MT_4_3;70.73;Train
MT;3;22_12_15_MT_4_3;70.73;Train
MT;1;22_12_15_MT_4_2;76.62;Train
MT;2;22_12_15_MT_4_2;76.62;Train
MT;3;22_12_15_MT_4_2;76.62;Train
COL;1;22_12_15_COL_5_5;69.05;Train
COL;2;22_12_15_COL_5_5;69.05;Train
COL;3;22_12_15_COL_5_5;69.05;Train
MT;1;22_12_15_MT_1_1;56.2;Train
MT;2;22_12_15_MT_1_1;56.2;Train
MT;3;22_12_15_MT_1_1;56.2;Train
MT;1;22_12_15_MT_2_5;65;Train
MT;2;22_12_15_MT_2_5;65;Train
MT;3;22_12_15_MT_2_5;65;Train
BE;1;22_12_15_BE_4_2;66.75;Train
BE;2;22_12_15_BE_4_2;66.75;Train
BE;3;22_12_15_BE_4_2;66.75;Train
COL;1;22_12_15_COL_5_10;71.62;Train
COL;2;22_12_15_COL_5_10;71.62;Train
COL;3;22_12_15_COL_5_10;71.62;Train
ST;1;22_12_15_ST_2_9;41.1;Train
ST;2;22_12_15_ST_2_9;41.1;Train
ST;3;22_12_15_ST_2_9;41.1;Train
COL;1;22_12_15_COL_5_1;67.58;Train
COL;2;22_12_15_COL_5_1;67.58;Train
COL;3;22_12_15_COL_5_1;67.58;Train
ST;1;22_12_15_ST_2_7;39.75;Train
ST;2;22_12_15_ST_2_7;39.75;Train
ST;3;22_12_15_ST_2_7;39.75;Train
COL;1;22_12_15_COL_5_2;59.92;Train
COL;2;22_12_15_COL_5_2;59.92;Train
COL;3;22_12_15_COL_5_2;59.92;Train
ST;1;22_12_15_ST_2_8;41.5;Train
ST;2;22_12_15_ST_2_8;41.5;Train
ST;3;22_12_15_ST_2_8;41.5;Train
MT;1;22_12_15_MT_2_4;50;Train
MT;2;22_12_15_MT_2_4;50;Train
MT;3;22_12_15_MT_2_4;50;Train
MT;1;22_12_15_MT_2_2;56.23;Train
MT;2;22_12_15_MT_2_2;56.23;Train
MT;3;22_12_15_MT_2_2;56.23;Train
MT;1;22_12_15_MT_2_10;63.56;Train
MT;2;22_12_15_MT_2_10;63.56;Train
MT;3;22_12_15_MT_2_10;63.56;Train
ST;1;22_12_15_ST_5_2;68.42;Train
ST;2;22_12_15_ST_5_2;68.42;Train
ST;3;22_12_15_ST_5_2;68.42;Train
MT;1;22_12_15_MT_3_10;51.25;Train
MT;2;22_12_15_MT_3_10;51.25;Train
MT;3;22_12_15_MT_3_10;51.25;Train
ST;1;22_12_15_ST_5_3;60.89;Train
ST;2;22_12_15_ST_5_3;60.89;Train
ST;3;22_12_15_ST_5_3;60.89;Train
MT;1;22_12_15_MT_3_9;59.46;Train
MT;2;22_12_15_MT_3_9;59.46;Train
MT;3;22_12_15_MT_3_9;59.46;Train
BE;1;22_12_15_BE_5_10;65.45;Train
BE;2;22_12_15_BE_5_10;65.45;Train
BE;3;22_12_15_BE_5_10;65.45;Train
ST;1;22_12_15_ST_4_1;57.53;Train
ST;2;22_12_15_ST_4_1;57.53;Train
ST;3;22_12_15_ST_4_1;57.53;Train
BE;1;22_12_15_BE_4_3;55.1;Train
BE;2;22_12_15_BE_4_3;55.1;Train
BE;3;22_12_15_BE_4_3;55.1;Train
MT;1;22_12_15_MT_5_2;70.34;Train
MT;2;22_12_15_MT_5_2;70.34;Train
MT;3;22_12_15_MT_5_2;70.34;Train
MT;1;22_12_15_MT_3_3;55.5;Train
MT;2;22_12_15_MT_3_3;55.5;Train
MT;3;22_12_15_MT_3_3;55.5;Train
MT;1;22_12_15_MT_4_10;60.08;Train
MT;2;22_12_15_MT_4_10;60.08;Train
MT;3;22_12_15_MT_4_10;60.08;Train
MT;1;22_12_15_MT_4_6;58.69;Train
MT;2;22_12_15_MT_4_6;58.69;Train
MT;3;22_12_15_MT_4_6;58.69;Train
MT;1;22_12_15_MT_1_2;51.37;Train
MT;2;22_12_15_MT_1_2;51.37;Train
MT;3;22_12_15_MT_1_2;51.37;Train
MT;1;22_12_15_MT_1_3;49.09;Train
MT;2;22_12_15_MT_1_3;49.09;Train
MT;3;22_12_15_MT_1_3;49.09;Train
MT;1;22_12_15_MT_1_10;55.59;Train
MT;2;22_12_15_MT_1_10;55.59;Train
MT;3;22_12_15_MT_1_10;55.59;Train
BE;1;22_12_15_BE_5_9;81;Train
BE;2;22_12_15_BE_5_9;81;Train
BE;3;22_12_15_BE_5_9;81;Train
MT;1;22_12_15_MT_2_7;51.2;Train
MT;2;22_12_15_MT_2_7;51.2;Train
MT;3;22_12_15_MT_2_7;51.2;Train
BE;1;22_12_15_BE_4_4;60.59;Train
BE;2;22_12_15_BE_4_4;60.59;Train
BE;3;22_12_15_BE_4_4;60.59;Train
BE;1;22_12_15_BE_4_1;59.63;Train
BE;2;22_12_15_BE_4_1;59.63;Train
BE;3;22_12_15_BE_4_1;59.63;Train
MT;1;22_12_15_MT_5_4;63.56;Train
MT;2;22_12_15_MT_5_4;63.56;Train
MT;3;22_12_15_MT_5_4;63.56;Train
MT;1;22_12_15_MT_5_3;67.66;Train
MT;2;22_12_15_MT_5_3;67.66;Train
MT;3;22_12_15_MT_5_3;67.66;Train
BE;1;22_12_15_BE_4_5;59.85;Train
BE;2;22_12_15_BE_4_5;59.85;Train
BE;3;22_12_15_BE_4_5;59.85;Train
MT;1;22_12_15_MT_5_9;81.32;Train
MT;2;22_12_15_MT_5_9;81.32;Train
MT;3;22_12_15_MT_5_9;81.32;Train
MT;1;22_12_15_MT_4_5;64.89;Train
MT;2;22_12_15_MT_4_5;64.89;Train
MT;3;22_12_15_MT_4_5;64.89;Train
MT;1;22_12_15_MT_5_10;66.71;Train
MT;2;22_12_15_MT_5_10;66.71;Train
MT;3;22_12_15_MT_5_10;66.71;Train
COL;1;22_12_15_COL_5_8;65.87;Train
COL;2;22_12_15_COL_5_8;65.87;Train
COL;3;22_12_15_COL_5_8;65.87;Train
MT;1;22_12_15_MT_5_7;73.66;Train
MT;2;22_12_15_MT_5_7;73.66;Train
MT;3;22_12_15_MT_5_7;73.66;Train
MT;1;22_12_15_MT_3_2;55.46;Train
MT;2;22_12_15_MT_3_2;55.46;Train
MT;3;22_12_15_MT_3_2;55.46;Train
COL;1;23_01_05_COL_2_10;100;Train
COL;2;23_01_05_COL_2_10;100;Train
COL;3;23_01_05_COL_2_10;100;Train
COL;1;23_01_05_COL_2_9;68;Train
COL;2;23_01_05_COL_2_9;68;Train
COL;3;23_01_05_COL_2_9;68;Train
ST;1;23_01_05_ST_2_2;38;Train
ST;2;23_01_05_ST_2_2;38;Train
ST;3;23_01_05_ST_2_2;38;Train
ST;1;23_01_05_ST_1_9;33.8;Train
ST;2;23_01_05_ST_1_9;33.8;Train
ST;3;23_01_05_ST_1_9;33.8;Train
COL;1;23_01_05_COL_1_3;52.5;Train
COL;2;23_01_05_COL_1_3;52.5;Train
COL;3;23_01_05_COL_1_3;52.5;Train
MT;1;23_01_05_MT_1_5;34.78;Train
MT;2;23_01_05_MT_1_5;34.78;Train
MT;3;23_01_05_MT_1_5;34.78;Train
COL;1;23_01_05_COL_2_6;44.72;Train
COL;2;23_01_05_COL_2_6;44.72;Train
COL;3;23_01_05_COL_2_6;44.72;Train
