Sample_ID;Split
BGE150;cal
BGE150;cal
BGE150;cal
BGE151;cal
BGE151;cal
BGE151;cal
BGE152;cal
BGE152;cal
BGE152;cal
BGE153;cal
BGE153;cal
BGE153;cal
BGE154;cal
BGE154;cal
BGE154;cal
BGE155;cal
BGE155;cal
BGE155;cal
BGE156;cal
BGE156;cal
BGE156;cal
BGE157;cal
BGE157;cal
BGE157;cal
BGE158;cal
BGE158;cal
BGE158;cal
BGE159;cal
BGE159;cal
BGE159;cal
BGE160;cal
BGE160;cal
BGE160;cal
BGE161;cal
BGE161;cal
BGE161;cal
BGE162;cal
BGE162;cal
BGE162;cal
BGE163;cal
BGE163;cal
BGE163;cal
BGE164;cal
BGE164;cal
BGE164;cal
BGE165;cal
BGE165;cal
BGE165;cal
BGE166;cal
BGE166;cal
BGE166;cal
BGE167;cal
BGE167;cal
BGE167;cal
BGE168;cal
BGE168;cal
BGE168;cal
BGE169;cal
BGE169;cal
BGE169;cal
BGE170;cal
BGE170;cal
BGE170;cal
BGE171;cal
BGE171;cal
BGE171;cal
BGE172;cal
BGE172;cal
BGE172;cal
BGE173;cal
BGE173;cal
BGE173;cal
BGE174;cal
BGE174;cal
BGE174;cal
BGE175;cal
BGE175;cal
BGE175;cal
BGE176;cal
BGE176;cal
BGE176;cal
BGE177;cal
BGE177;cal
BGE177;cal
BGE178;cal
BGE178;cal
BGE178;cal
BGE179;cal
BGE179;cal
BGE179;cal
BGE180;cal
BGE180;cal
BGE180;cal
BGE181;cal
BGE181;cal
BGE181;cal
BGE182;cal
BGE182;cal
BGE182;cal
BGE183;cal
BGE183;cal
BGE183;cal
BGE184;cal
BGE184;cal
BGE184;cal
